,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2020-07-28,3.96,4.05,3.92,3.94,3.94,4555400,,,,0
2020-07-29,3.94,4.18,3.92,4.06,4.06,2879600,,,,0
2020-07-30,4.0,4.23,3.97,4.1,4.1,2398500,1.0,-0.8574,0.4215,1
2020-07-31,4.06,4.16,3.99,4.01,4.01,1879400,,,,0
2020-08-01,4.06,4.16,3.99,4.01,4.01,1879400,,,,0
2020-08-02,4.06,4.16,3.99,4.01,4.01,1879400,,,,0
2020-08-03,4.03,4.25,4.0,4.15,4.15,2517600,,,,0
2020-08-04,4.13,4.74,4.13,4.43,4.43,10361400,,,,0
2020-08-05,4.5,4.76,4.25,4.63,4.63,4925700,,,,0
2020-08-06,4.6,4.66,4.38,4.43,4.43,1901200,,,,0
2020-08-07,4.39,4.4,4.06,4.16,4.16,3341100,,,,0
2020-08-08,4.39,4.4,4.06,4.16,4.16,3341100,,,,0
2020-08-09,4.39,4.4,4.06,4.16,4.16,3341100,,,,0
2020-08-10,4.2,4.57,4.18,4.33,4.33,4561800,,,,0
2020-08-11,4.43,4.57,4.34,4.35,4.35,3138800,,,,0
2020-08-12,4.4,4.63,4.36,4.52,4.52,3057600,,,,0
2020-08-13,4.52,4.71,4.5,4.64,4.64,2128300,,,,0
2020-08-14,4.6,4.83,4.55,4.75,4.75,3474400,,,,0
2020-08-15,4.6,4.83,4.55,4.75,4.75,3474400,,,,0
2020-08-16,4.6,4.83,4.55,4.75,4.75,3474400,,,,0
2020-08-17,4.78,4.78,4.56,4.63,4.63,2371000,,,,0
2020-08-18,4.61,4.87,4.43,4.81,4.81,3834400,,,,0
2020-08-19,4.8,4.84,4.64,4.72,4.72,2612600,1.0,0.6201,-0.296,1
2020-08-20,4.62,4.68,4.51,4.61,4.61,2441200,,,,0
2020-08-21,4.6,5.6,4.6,5.03,5.03,10642600,,,,0
2020-08-22,4.6,5.6,4.6,5.03,5.03,10642600,,,,0
2020-08-23,4.6,5.6,4.6,5.03,5.03,10642600,,,,0
2020-08-24,5.1,5.13,4.56,4.87,4.87,4585400,,,,0
2020-08-25,4.88,5.25,4.88,4.98,4.98,2998700,,,,0
2020-08-26,4.97,5.22,4.92,5.11,5.11,2779700,,,,0
2020-08-27,5.11,5.38,5.02,5.25,5.25,3384400,,,,0
2020-08-28,5.3,5.57,5.22,5.39,5.39,4236900,,,,0
2020-08-29,5.3,5.57,5.22,5.39,5.39,4236900,1.0,0.4588,0.4278,1
2020-08-30,5.3,5.57,5.22,5.39,5.39,4236900,,,,0
2020-08-31,5.77,7.15,5.69,6.68,6.68,37976000,1.0,0.13094999999999998,0.0,2
2020-09-01,7.3,7.82,6.77,7.65,7.65,23211000,1.0,0.9493499999999999,0.0,2
2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100,1.0,0.3314333333333333,0.25720000000000004,3
2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500,1.0,0.8126,0.0,1
2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000,,,,0
2020-09-05,7.78,7.92,7.17,7.65,7.65,7662000,,,,0
2020-09-06,7.78,7.92,7.17,7.65,7.65,7662000,1.0,0.1531,0.34,1
2020-09-07,7.78,7.92,7.17,7.65,7.65,7662000,,,,0
2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600,1.0,0.04859999999999998,0.2139,2
2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100,1.0,0.08629999999999999,-0.135575,4
2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300,1.0,0.55,-0.0386,2
2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200,,,,0
2020-09-12,6.26,6.33,5.87,6.09,6.09,6061200,,,,0
2020-09-13,6.26,6.33,5.87,6.09,6.09,6061200,,,,0
2020-09-14,6.8,7.0,6.43,6.91,6.91,10119000,1.0,0.7351,0.5859,1
2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500,1.0,-0.20263333333333333,-0.5327333333333333,3
2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300,1.0,0.06708333333333333,-0.1445833333333333,6
2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700,1.0,0.1169,0.0,5
2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500,3.75,0.37434999999999996,-0.025675,4
2020-09-19,9.2,9.77,8.91,9.47,9.47,17407500,1.0,0.042133333333333356,0.0,3
2020-09-20,9.2,9.77,8.91,9.47,9.47,17407500,1.0,-0.4396,0.0,1
2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800,1.0,-0.65805,-0.20095,2
2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500,1.0,0.30484,0.023960000000000002,5
2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200,1.0,-0.07349999999999998,-0.01726666666666669,3
2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800,1.0,0.8873666666666665,0.08333333333333333,3
2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200,1.0,0.24583750000000001,0.08757499999999999,8
2020-09-26,9.19,10.18,9.1,10.02,10.02,7515200,1.0,0.80985,0.0,2
2020-09-27,9.19,10.18,9.1,10.02,10.02,7515200,,,,0
2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300,1.0,0.43445,0.0,2
2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600,1.0,0.5014,-0.09223333333333332,3
2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000,1.0,0.2741,-0.607,1
2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100,1.0,0.8829,0.0,2
2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500,1.0,0.5073000000000001,-0.601,2
2020-10-03,9.38,9.78,9.3,9.39,9.39,4340500,,,,0
2020-10-04,9.38,9.78,9.3,9.39,9.39,4340500,,,,0
2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000,1.0,-0.07703333333333331,-0.0070666666666666655,3
2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400,1.0,0.9605,0.6908,1
2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600,1.0,-0.440875,-0.135575,4
2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600,1.0625,0.10219375,0.06284999999999999,16
2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800,1.0555555555555556,0.15597500000000003,0.03473611111111111,36
2020-10-10,12.83,14.8,11.9,12.02,12.02,77152800,1.0,0.15541666666666668,0.00286666666666667,12
2020-10-11,12.83,14.8,11.9,12.02,12.02,77152800,1.0666666666666667,0.22837333333333337,0.10020000000000001,15
2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700,1.0,0.3204000000000001,-0.10621999999999998,5
2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700,1.0,0.31066153846153843,-0.12774615384615384,13
2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800,1.0,0.3691583333333333,-0.01291666666666666,12
2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800,0.9583333333333334,0.10983750000000003,-0.024729166666666663,24
2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600,1.0,0.14825000000000002,-0.14320000000000005,24
2020-10-17,13.77,13.9,13.08,13.31,13.31,11651600,1.0,-0.260725,0.14315,4
2020-10-18,13.77,13.9,13.08,13.31,13.31,11651600,1.0,0.0023800000000000045,0.016379999999999995,5
2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100,1.0,0.5136857142857142,0.0717857142857143,7
2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000,1.0,0.1538571428571429,0.07292857142857143,7
